sim/none/none                                      Do nothing at all!
sim/fuel/fuel_tank_selector_lft_one                Select fuel tank left one.
sim/fuel/fuel_tank_selector_rgt_one                Select fuel tank right one.
sim/fuel/fuel_selector_none                        Set fuel selector to NONE (shut-off).
sim/fuel/fuel_selector_lft                         Set fuel selector to left tanks.
sim/fuel/fuel_selector_ctr                         Set fuel selector to center tanks.
sim/fuel/fuel_selector_rgt                         Set fuel selector to right tanks.
sim/fuel/fuel_selector_all                         Set fuel selector to ALL tanks.
sim/fuel/fuel_transfer_to_lft                      Transfer fuel to left.
sim/fuel/fuel_transfer_to_ctr                      Transfer fuel to center.
sim/fuel/fuel_transfer_to_rgt                      Transfer fuel to right.
sim/fuel/fuel_transfer_to_off                      Transfer fuel to none.
sim/fuel/fuel_transfer_from_lft                    Transfer fuel from left.
sim/fuel/fuel_transfer_from_ctr                    Transfer fuel from center.
sim/fuel/fuel_transfer_from_rgt                    Transfer fuel from right.
sim/fuel/fuel_transfer_from_off                    Transfer fuel from none.
sim/fuel/fuel_crossfeed_from_lft_tank              Cross-feed fuel from left tank.
sim/fuel/fuel_crossfeed_off                        Cross-feed fuel off.
sim/fuel/fuel_crossfeed_from_rgt_tank              Cross-feed fuel from right tank.
sim/fuel/fuel_firewall_valve_lft_open              Firewall fuel valve left open.
sim/fuel/fuel_firewall_valve_lft_closed            Firewall fuel valve left closed.
sim/fuel/fuel_firewall_valve_rgt_open              Firewall fuel valve right open.
sim/fuel/fuel_firewall_valve_rgt_closed            Firewall fuel valve right closed.
sim/fuel/fuel_pump_1_on                            Fuel pump for engine #1 on.
sim/fuel/fuel_pump_2_on                            Fuel pump for engine #2 on.
sim/fuel/fuel_pump_3_on                            Fuel pump for engine #3 on.
sim/fuel/fuel_pump_4_on                            Fuel pump for engine #4 on.
sim/fuel/fuel_pump_5_on                            Fuel pump for engine #5 on.
sim/fuel/fuel_pump_6_on                            Fuel pump for engine #6 on.
sim/fuel/fuel_pump_7_on                            Fuel pump for engine #7 on.
